coverage,method,seed,source_hidden,magnitude,threshold,n_windows_during,detection_rate,detected_episode,top1,within1,median_station_error,top1_episode,within1_episode,lead_time_min,first_alert_t_s,first_correct_alert_t_s,n_episodes
0.25,B0_SPC_observed,5052.513157894737,1.0,4.6846595975369025,4.674774997918179,57.171052631578945,0.005768650580479755,0.19736842105263158,0.0,0.0,13.8,0.0,0.0,,39788.03763364094,,76
0.25,B1_IsolationForest,5052.513157894737,1.0,4.6846595975369025,0.7158774793615637,57.171052631578945,0.09028895770425853,0.40789473684210525,0.0,0.0063364055299539165,9.5,0.0,0.0,112.21142804403334,32763.96928857748,22919.220921976248,76
0.25,B2_observed_only_twin,5052.513157894737,1.0,4.6846595975369025,23.87066583332845,57.171052631578945,0.1866404637538612,0.4473684210526316,0.0,0.17647058823529413,5.382352941176471,0.0,0.07894736842105263,182.1160752468404,30553.760366093116,18724.942089807824,76
0.25,RippleTwin,5052.513157894737,1.0,4.6846595975369025,23.87887940963418,57.171052631578945,0.1757536839785765,0.47368421052631576,0.11902550994100232,0.2925102434625992,5.458333333333333,0.07894736842105263,0.13157894736842105,82.98258604498515,30388.288190120147,31765.834662585385,76
0.5,B0_SPC_observed,5049.716666666666,1.0,4.857175961438617,5.012127239822025,57.016666666666666,0.0077519759147565,0.25,0.0,0.0,14.466666666666667,0.0,0.0,,41154.97385709067,,60
0.5,B1_IsolationForest,5049.716666666666,1.0,4.857175961438617,0.7423023198141773,57.016666666666666,0.08613390262871873,0.31666666666666665,0.0,0.022556390977443608,9.842105263157896,0.0,0.016666666666666666,112.21142804403334,33649.95823904311,22919.220921976248,60
0.5,B2_observed_only_twin,5049.716666666666,1.0,4.857175961438617,39.987745614480566,57.016666666666666,0.17346996974874432,0.4666666666666667,0.0,0.5229076479076479,6.821428571428571,0.0,0.25,196.96679568881848,32455.38399756417,28620.905364927847,60
0.5,RippleTwin,5049.716666666666,1.0,4.857175961438617,39.99294167411538,57.016666666666666,0.17504114373955673,0.5,0.43005417547568714,0.49114791324093654,6.65,0.23333333333333334,0.25,172.1032728255995,32090.063296283824,29604.781315701926,60
0.75,B0_SPC_observed,5048.173913043478,1.0,4.649523241780003,5.061702559429017,57.0,0.007821992814693833,0.2391304347826087,0.0,0.0,17.272727272727273,0.0,0.0,,39917.9603447934,,46
0.75,B1_IsolationForest,5048.173913043478,1.0,4.649523241780003,0.7423023198141773,57.0,0.12159556357438862,0.45652173913043476,0.0,0.22082797082797084,6.0476190476190474,0.0,0.10869565217391304,486.23536965818306,30338.544126143297,22317.75402708315,46
0.75,B2_observed_only_twin,5048.173913043478,1.0,4.649523241780003,31.30364205825687,57.0,0.20904520686129333,0.5434782608695652,0.0,0.6445021645021645,6.04,0.0,0.3695652173913043,178.88864751265857,32077.746060216497,31377.953560329264,46
0.75,RippleTwin,5048.173913043478,1.0,4.649523241780003,31.30364205825687,57.0,0.21885502229262588,0.5652173913043478,0.5698186629182105,0.6350952968600028,5.4423076923076925,0.32608695652173914,0.34782608695652173,194.37246985377726,31622.18417101709,30967.420175428935,46
