coverage,method,fault_kind,seed,source_hidden,magnitude,threshold,n_windows_during,detection_rate,detected_episode,top1,within1,median_station_error,top1_episode,within1_episode,lead_time_min,first_alert_t_s,first_correct_alert_t_s,n_episodes
0.25,B0_SPC_observed,COMBINED,5059.6875,0.9375,1.2556019473226767,4.674774997918179,58.5,0.06013296483234529,0.3125,0.19411764705882353,0.19411764705882353,12.2,0.0625,0.0625,,37385.66497632492,,16
0.25,B0_SPC_observed,MICROSTOP_BURST,5064.125,1.0,8.500896383126522,4.674774997918179,57.5,0.001736111111111111,0.125,0.0,0.0,17.0,0.0,0.0,,44214.46573473616,,8
0.25,B0_SPC_observed,QUALITY_DRIFT,5044.772727272727,1.0,10.409278832833635,4.674774997918179,59.13636363636363,0.0018857686111207238,0.13636363636363635,0.0,0.0,6.333333333333333,0.0,0.0,,43516.52249897497,,22
0.25,B0_SPC_observed,SLOWDOWN,5052.625,0.96875,1.3009738217451883,4.674774997918179,54.5,0.025207140443114926,0.25,0.125,0.125,13.75,0.03125,0.03125,207.51694934737424,36321.54629945982,33127.186237845286,32
0.25,B1_IsolationForest,COMBINED,5059.6875,0.9375,1.2556019473226767,0.7158774793615637,58.5,0.15096002585093588,0.5625,0.0,0.0,9.666666666666666,0.0,0.0,,33451.77478163317,,16
0.25,B1_IsolationForest,MICROSTOP_BURST,5064.125,1.0,8.500896383126522,0.7158774793615637,57.5,0.009426520125672667,0.5,0.0,0.0,12.0,0.0,0.0,,35972.792705695414,,8
0.25,B1_IsolationForest,QUALITY_DRIFT,5044.772727272727,1.0,10.409278832833635,0.7158774793615637,59.13636363636363,0.0026131678674051555,0.09090909090909091,0.0,0.0,13.0,0.0,0.0,,45122.31133863689,,22
0.25,B1_IsolationForest,SLOWDOWN,5052.625,0.96875,1.3009738217451883,0.7158774793615637,54.5,0.15098611439617257,0.5625,0.0,0.010912698412698412,8.305555555555555,0.0,0.0,112.21142804403334,30123.554776579185,22919.220921976248,32
0.25,B2_observed_only_twin,COMBINED,5059.6875,0.9375,1.2556019473226767,23.87066583332845,58.5,0.22390710292767435,0.5625,0.1111111111111111,0.2222222222222222,3.888888888888889,0.0625,0.125,,32684.18783642097,,16
0.25,B2_observed_only_twin,MICROSTOP_BURST,5064.125,1.0,8.500896383126522,23.87066583332845,57.5,0.02635593220338983,0.25,0.0,0.5,4.0,0.0,0.125,,23665.787742220797,,8
0.25,B2_observed_only_twin,QUALITY_DRIFT,5044.772727272727,1.0,10.409278832833635,23.87066583332845,59.13636363636363,0.010507618558466016,0.13636363636363635,0.0,0.0,24.0,0.0,0.0,,34219.02226148162,,22
0.25,B2_observed_only_twin,SLOWDOWN,5052.625,0.96875,1.3009738217451883,23.87066583332845,54.5,0.3627054719989332,0.6875,0.045454545454545456,0.22727272727272727,3.090909090909091,0.03125,0.15625,194.81651229710732,29551.167438856406,25926.064163826555,32
0.25,RippleTwin,COMBINED,5059.6875,0.9375,1.2556019473226767,23.87887940963418,58.5,0.21404182696070345,0.625,0.16071428571428573,0.2577188940092166,3.15,0.125,0.1875,101.41261796613871,31948.273057387094,37614.34063414337,16
0.25,RippleTwin,MICROSTOP_BURST,5064.125,1.0,8.500896383126522,23.87887940963418,57.5,0.02847457627118644,0.25,0.3125,0.5,3.0,0.125,0.125,,23516.652118454367,,8
0.25,RippleTwin,QUALITY_DRIFT,5044.772727272727,1.0,10.409278832833635,23.87887940963418,59.13636363636363,0.01240155795240541,0.18181818181818182,0.0,0.0,25.5,0.0,0.0,,33269.52315219913,,22
0.25,RippleTwin,SLOWDOWN,5052.625,0.96875,1.3009738217451883,23.87887940963418,54.5,0.3399502636658349,0.6875,0.18421706821514663,0.40696271929824557,2.590909090909091,0.15625,0.25,118.35069650539698,29537.655064959057,30270.116530486022,32
0.5,B0_SPC_observed,COMBINED,5059.6875,0.6875,1.2556019473226767,5.012127239822025,58.5,0.20721376958066165,0.5625,0.5522875816993464,0.5522875816993464,8.11111111111111,0.3125,0.3125,111.34582703788304,36895.726270226456,37018.34808983871,16
